country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
Tajikistan,0.69,,,,,,,,,
Papua New Guinea,0.487,,,,,,,,,
Portugal,0.877,277.58,47.0,10.0,6.0,42.0,17.0,64.0,17.0,20.0
Azerbaijan,0.667,,,,,,,,,
Greece,0.766,337.8,71.0,5.0,6.0,42.0,22.0,74.0,23.0,20.0
Hungary,0.835,375.89,57.0,18.0,17.0,47.0,19.0,79.0,49.0,15.0
Togo,0.595,,,,,,,,,
Israel,0.703,,,,,,,,,
Austria,0.911,251.63,27.0,8.0,23.0,29.0,28.0,70.0,14.0,20.0
Belarus,0.733,,,,,,,,,
Switzerland,0.928,252.78,15.0,7.0,66.0,22.0,30.0,59.0,7.0,26.0
Sierra Leone,0.543,,,,,,,,,
Laos,0.704,,,,,,,,,
Turkmenistan,0.75,,,,,,,,,
Hong Kong,0.812,,,,,,,,,
Libya,0.61,,,,,,,,,
Kyrgyzstan,0.673,,,,,,,,,
Paraguay,0.691,,,,,,,,,
Nicaragua,0.717,,,,,,,,,
Bulgaria,0.826,380.84,61.0,7.0,34.0,47.0,30.0,59.0,41.0,34.0
Serbia,0.835,,,,,,,,,
El Salvador,0.566,,,,,,,,,
Republic of the Congo,0.507,,,,,,,,,
Denmark,0.932,320.65,28.0,9.0,63.0,71.0,31.0,54.0,8.0,20.0
Singapore,0.887,245.26,9.0,5.0,19.0,14.0,46.0,71.0,13.0,67.0
Lebanon,0.595,,,,,,,,,
Finland,0.924,,,,,,,,,
Liberia,0.5,,,,,,,,,
Norway,0.92,259.92,16.0,5.0,66.0,62.0,22.0,41.0,9.0,18.0
Slovakia,0.856,,,,,,,,,
Palestine,0.483,,,,,,,,,
Central African Republic,0.378,,,,,,,,,
Oman,0.715,,,,,,,,,
Ireland,0.892,247.31,35.0,4.0,29.0,33.0,19.0,49.0,21.0,20.0
New Zealand,0.904,,,,,,,,,
Mauritania,0.506,,,,,,,,,
Costa Rica,0.743,,,,,,,,,
Kuwait,0.742,,,,,,,,,
Panama,0.757,,,,,,,,,
Croatia,0.862,286.53,43.0,10.0,17.0,29.0,22.0,69.0,24.0,20.0
Georgia,0.812,,,,,,,,,
Mongolia,0.794,,,,,,,,,
Uruguay,0.748,,,,,,,,,
Puerto Rico,0.692,,,,,,,,,
Bosnia and Herzegovina,0.754,,,,,,,,,
Qatar,0.703,,,,,,,,,
Moldova,0.758,,,,,,,,,
Namibia,0.61,,,,,,,,,
Armenia,0.772,,,,,,,,,
Lithuania,0.886,,,,,,,,,
Jamaica,0.71,,,,,,,,,
Albania,0.796,,,,,,,,,
Gambia,0.575,,,,,,,,,
Gabon,0.593,,,,,,,,,
Botswana,0.659,,,,,,,,,
Lesotho,0.605,,,,,,,,,
Guinea-Bissau,0.483,,,,,,,,,
Slovenia,0.824,,,,,,,,,
Equatorial Guinea,0.619,,,,,,,,,
Latvia,0.872,,,,,,,,,
North Macedonia,0.798,,,,,,,,,
Bahrain,0.752,476.09,64.0,14.0,26.0,30.0,81.0,88.0,42.0,52.0
Trinidad and Tobago,0.721,,,,,,,,,
Timor-Leste,0.664,,,,,,,,,
Estonia,0.892,,,,,,,,,
Cyprus,0.739,,,,,,,,,
Mauritius,0.678,,,,,,,,,
Eswatini,0.415,,,,,,,,,
Djibouti,0.504,,,,,,,,,
Fiji,0.738,,,,,,,,,
Comoros,0.519,,,,,,,,,
Guyana,0.769,,,,,,,,,
Solomon Islands,0.664,,,,,,,,,
Bhutan,0.7,,,,,,,,,
Luxembourg,0.924,,,,,,,,,
Montenegro,0.808,,,,,,,,,
Suriname,0.694,,,,,,,,,
Malta,0.846,,,,,,,,,
Maldives,0.72,,,,,,,,,
Cape Verde,0.738,,,,,,,,,
Belize,0.657,,,,,,,,,
Iceland,0.924,,,,,,,,,
Vanuatu,0.644,,,,,,,,,
Barbados,0.779,,,,,,,,,
Sao Tome and Principe,0.648,,,,,,,,,
Samoa,0.711,,,,,,,,,
Seychelles,0.799,,,,,,,,,
Tonga,0.697,,,,,,,,,
Country_0,0.6321777640107498,445.8303629559442,69.08285735382968,23.166116682564724,41.742236575327254,26.397169195817305,2.9285800260017036,13.813067664085299,62.412255417575146,37.442932391030695
Country_1,0.8680438338409108,543.783747866245,50.59311017444419,32.80169454809453,57.437549579199,85.97329163423504,51.49689080467444,66.55396031985212,96.78749865131849,47.64413924137942
Country_2,0.35257660952188896,406.9669136088925,35.193031758037506,25.961144009400446,0.4190432131646271,95.26390592897323,32.80162129228634,6.295925478355835,40.51419873085605,21.12682172470609
Country_3,0.4847265213545877,583.681092839435,65.89676492862993,34.99379521707372,40.12559772725953,42.40053572846574,64.00496670375948,82.25725262217574,85.7568515257676,58.142776141062235
Country_4,0.6559925344617242,574.5047441639197,86.48086011762689,19.849418153744196,85.08781552241965,62.0180469659918,24.022026100939865,13.971226088524224,5.530730986570564,54.79037297929557
Country_5,0.8469405961113045,524.7154854493448,26.119090430361315,35.17680235281931,39.17137185769407,92.65090431132286,22.627928109657493,38.046190393772875,81.89858416647644,37.48686739631911
Country_6,0.3606714601300034,451.93181679186927,35.82649201512515,31.57922237110265,0.6022012732297521,21.20349239621201,79.44514579148118,54.25708627409036,35.43611979791211,1.9251843161694593
Country_7,0.9299240156019767,470.32000646005565,88.10327761651274,8.087156535612083,79.01017493645135,96.18247389266047,88.09139242909536,31.094163038755408,43.02049210399574,65.78068146536856
Country_8,0.47663618058575563,525.9970537506454,77.89042820600241,2.2293277950681034,4.897509066086414,33.14566369133646,30.354343780544855,75.8273318414172,23.20302326000657,28.938372003321057
Country_9,0.8657526219841376,444.4037947938531,69.35305873548295,22.67069550463879,85.74766870164349,34.46486669711025,24.284703555945942,3.4966207850263276,34.65144759626958,34.418027823825305
Country_10,0.9092216742874886,483.74405141936404,74.25278457154741,20.32756450100337,45.598904621547575,43.47673223745796,17.32321529634494,25.384125866639906,17.528978542258855,46.528788975348704
Country_11,0.28221828631937285,411.6539273526975,29.86300754443191,12.52441796487217,74.50261956807554,55.081326241753494,59.58258893390379,52.18694990829046,95.70119095439102,45.02692370213865
Country_12,0.3287392817276501,583.950496771821,39.14678094843941,21.077238200646022,21.46389710516675,82.1987225969756,36.80697418645759,38.30344603483466,67.0860250175538,65.49199898396088
Country_13,0.6217062513154508,520.4432718762033,95.23404690765716,2.81693841768465,73.62408851572701,31.617717069695694,40.48415764352783,4.0987715579576705,7.9418940452780635,1.771476090219315
Country_14,0.6063129101449726,506.71938992478204,83.80609455241228,31.664289793076517,3.889559789863317,57.59475286765505,55.653051474382444,37.730726823755624,8.366850912368061,18.044751269297954
Country_15,0.42657425847264896,431.98419768681606,77.56422399062171,49.07389959765736,59.38767833335713,5.59990500544486,79.52672154030239,76.26628270666487,96.05360985302272,10.008380923631465
Country_16,0.8747760675067621,486.1143490709126,54.512526978808594,11.075942077077428,1.4549977769485745,33.95684335089055,3.283418195477983,65.69054196373926,84.73746969960155,40.408558047190546
Country_17,0.14892932034290363,510.6175877076049,61.1597318363028,12.732422618496237,72.13590162288594,33.532246125955446,70.98639697043039,65.42233727740899,34.888617723603666,95.77500005102489
Country_18,0.2797309998965538,446.2295951869175,28.05543091276196,15.731217960459205,14.122072879335757,62.14748067797375,62.55074452665077,52.52120491727753,83.6442065067759,46.30259127590634
Country_19,0.8990643479547259,422.74449353569076,91.45954939970844,48.01744391804559,10.451755160375653,45.94324500391497,12.237250902338182,89.11602664758071,6.428220369361737,78.17619772561308
Country_20,0.411737771267769,520.8035483545735,45.127483624751065,31.359991855321056,54.17377851969106,86.88076523691095,13.8447403504512,56.64067631556403,14.52688214948129,96.19783630002495
Country_21,0.9085659412719703,501.25805942872495,85.69377603286877,27.853132612658023,58.66376668437388,4.302579590622379,81.96862696101567,62.70769840335018,70.39211758538613,68.73596219612156
Country_22,0.6334972781389234,411.2200282960498,43.03809782581476,47.81994108448645,62.49469481243042,90.17394497328013,49.02870868119314,91.31682636188604,44.029705212846046,93.26805018322347
Country_23,0.6613293493776596,563.988255805155,73.63138215280249,49.39275669580952,55.4024462723323,21.12524151832511,25.22793228197727,90.37684444128004,42.380206983306365,65.61849416964436
Country_24,0.804181587660436,497.0551982943338,72.22899045089177,11.332209184136133,86.49430607993874,85.94980803676874,31.165088629321623,56.05523487640783,48.66654993811304,43.258741668469845
Country_25,0.43402039945506665,549.123344446659,95.40981334412686,10.939634605580405,99.24815232953014,47.45304548438236,92.42283758092718,89.27714736416434,82.83987908569603,1.048882156579034
Country_26,0.6922501603533806,454.065856869683,74.57316268021985,14.303432169309483,52.4158408588316,47.928790840647906,72.46973167067739,53.68525707626277,1.9206939958704372,83.25135575590303
Country_27,0.9985400623400071,576.8019892366354,58.49422428390315,18.164737900884326,52.16287414099766,8.279358545880433,70.35961341503187,82.93736955779863,13.820364888997204,13.72399945763586
Country_28,0.6363559719138023,437.77280664188265,48.674472735406326,42.205792009646146,3.1255688522089153,71.83603607869442,49.437852642591686,96.70914681147838,82.89222645432815,46.40745001666636
Country_29,0.21755016690287943,585.845862166237,57.96027001255154,11.110702930619244,84.65318337372476,76.86342962286453,58.90291786191953,79.05529409189612,2.1830217380081396,77.33184049693052
Country_30,0.5762456453516311,523.2226461015645,81.67388531374111,18.790055422538433,27.371280308789036,49.83571683454954,1.5271880811159266,89.79079306861357,97.55800516206136,98.37914089137587
Country_31,0.06583263982210663,590.0702527484783,39.97415294472631,25.659251718408093,65.8352116849037,99.53075653771775,38.12662704900589,27.697089915448302,92.84994247448822,79.36719429794586
Country_32,0.7554821456801011,499.1336594058816,9.207914042456721,31.413562949451368,10.096521978854412,67.75912668011745,46.86212281341512,89.92121254584056,68.54720845831707,70.42679286706154
Country_33,0.846979206339936,541.0862952766079,2.717659823949903,9.408270472978082,40.53546418532237,5.09808484632236,77.9675789839759,86.84625964371105,99.55971571838357,81.79643899156429
Country_34,0.9415404116424467,518.7731319885187,63.244904078366716,47.12913247013243,83.01908374717794,17.949240685982172,83.73098114181938,66.78785905894613,93.26017582577092,1.0155128083012888
Country_35,0.6776996733735208,477.7983078465402,34.02879873154835,6.814329336717884,16.262481856614308,16.931483408535065,30.463387558704046,80.25630160802207,10.067207621557761,37.4377318975166
Country_36,0.8189515400799593,457.62767849805266,54.90680661884615,40.17034272950205,83.05632688717827,82.73364151027322,90.34439952568475,29.157161401873054,10.71865764131048,21.635464983644283
Country_37,0.13066734627417775,477.611222432303,44.21125392918965,13.8546536876466,86.11956126323221,66.83956482513513,79.55415796819885,56.06739643283268,87.97681630381476,8.718684434990875
Country_38,0.9962143806528055,500.02192139941127,19.73853128225933,10.33770552888707,2.289756502684337,93.59148216641927,35.461054006386895,53.508938348373746,73.33787790300448,36.90383635752447
Country_39,0.7395906838043789,408.5753241651173,60.12033593149647,37.027691542544225,90.32512609728339,61.7656294994541,6.129700989855236,83.59666840171012,11.869218994377185,66.00818751767014
Country_40,0.19348653888843326,472.46028211346277,29.742772519062978,9.462234632462414,91.82419196543242,82.88404635327079,52.39612509910858,7.5935381240468285,38.05213766160433,79.96045086987465
Country_41,0.4246692040181539,559.7203715706654,40.25772697135087,38.88708665648778,56.24583216558151,3.7588494593293498,10.011488596761664,2.1762390476997906,5.22362742018645,92.86025960186059
Country_42,0.2516275138677906,453.3796524990354,95.2492227738985,33.53916978229116,3.4595608540075595,71.36190081628602,8.39059706109776,14.164706424996732,27.352852913006508,34.85404393857225
Country_43,0.38354109143266424,460.47774544781316,85.93019963673828,46.76603773633486,61.29035121949045,34.47752993360517,76.28926071599557,11.185170056646754,60.50996870577225,28.024725975769815
Country_44,0.6410573100268009,412.91820277259876,79.8203230224068,5.348973385614225,90.16757491040336,39.22574872341783,99.84423444272925,80.39079944761863,93.82790142116767,57.04072994819913
Country_45,0.40704634349636093,403.6806927724257,19.254968609411037,29.719064700238988,87.65240496241988,32.416351314102634,8.687242554291608,20.828270341114575,70.02856834231889,78.19432196730271
Country_46,0.7754741010826708,568.4383680873364,22.717723353390994,30.53295426808803,29.81176794736202,5.7560960612788925,19.009179713762126,99.34101900366726,52.31002499896117,54.778531766515236
Country_47,0.6292777916641178,463.62150400307183,18.11263161814439,24.773579797798302,1.7203003955881813,43.439472906325946,61.50258740363268,52.584429894434926,51.96507542344828,8.426988023948212
Country_48,0.937774080905189,419.36471333354876,25.52518575416499,2.3446499404531473,73.38327409647756,24.827154735257515,34.497362342349966,7.521036306850071,46.612898227453805,18.13484344894716
Country_49,0.7432101143492045,554.155428272808,92.49434425639504,36.63430648353258,43.162741688794085,18.15205798839289,25.128471140959206,71.51665778635875,92.37480337754883,81.76846455159715
Country_50,0.040754029019786975,461.21777272316496,28.314236235332658,23.94310271096921,54.41059764333331,16.038646484673148,33.51800379620754,68.15792446375517,24.189371649396186,64.23798349345138
Country_51,0.8057489490687934,433.1987830843424,20.38008652278579,27.552456395360636,53.83394744930663,25.996104612965574,94.47623512393533,62.450181037059885,6.622609654300904,54.09377544983924
Country_52,0.5899966334857301,587.8667312470579,52.94439778014555,38.671358423793606,82.00473191797492,3.098140709720232,48.15850690872937,36.15679640012846,43.98324830935208,18.23069142653927
Country_53,0.9003448916573579,578.5771154749273,76.04536113222157,4.832599608143595,43.079124731378116,42.07737325442419,88.1016268394968,26.01929050757378,77.25590257345378,27.014922670291863
Country_54,0.04606169300785712,516.740557978372,30.350007619014242,4.361043878603116,12.218380956484365,77.40751398001603,65.26239261993013,34.812065553168445,87.32333747258126,93.72480273767323
Country_55,0.08505346226991028,430.22801597372074,1.2700143071759373,46.00110564995338,91.49616787386087,84.61130756032672,3.2262662207892867,59.212690419436655,12.248785439921084,55.06233301949182
Country_56,0.09504930595270744,543.2901600221567,8.581782916790138,18.764426227484986,42.20725389255446,37.76855320615865,23.342427374160845,67.92652097760957,18.38835699226279,52.33755584788866
Country_57,0.741809257320029,438.4863793153106,21.205324166214957,15.3934206990117,20.82984338016405,64.11935700791985,21.93784299284132,72.20461103121258,28.819338675786142,29.1414589245376
Country_58,0.42144554891284935,406.68893854356764,62.39038022418906,26.920282212377877,52.63603021734844,91.06850878167006,80.24608606606373,49.010803834271385,75.19663096201865,67.3411226743369
Country_59,0.9466075420903106,501.65580117985576,32.578328117292855,4.5975741639412595,91.49364261177286,75.43954776735535,86.22706604189129,59.56806473341927,60.043327076611305,58.31368448407378
Country_60,0.33493240334468277,562.843135377302,44.69699668657373,20.954253029045333,71.71432700161716,11.23131237944255,25.001914901817734,98.37209753521398,56.63512562106776,98.7761345332251
Country_61,0.9923940221583428,458.5999344753136,19.208444522048453,21.202766973204223,47.567434755907165,43.27061845443296,36.72065486189777,10.207005501543398,95.53115056151819,83.79517925416052
Country_62,0.8140098629415001,568.119721206708,90.32696660476722,21.518267128295125,87.31124201776161,33.945084513563664,33.689166620239206,53.475446931688055,53.07703769739703,72.75705077292702
Country_63,0.19163477339361146,421.04798193192494,33.607430620732174,1.4735970421491718,29.38663813228911,31.66337212704272,3.1371666009230914,40.595692179720686,2.3151903586462685,61.507246780145245
Country_64,0.895660206488859,425.9514627309421,79.89282228195069,46.120867337677,1.9032722666643465,14.014996954201408,70.96834955699588,91.88842639872328,61.40954254056772,41.31209310718702
Country_65,0.15088834542024976,534.5150039275909,90.41264209020792,44.584385482661574,5.000449951261066,78.76023970288188,84.2110841775479,35.45011267951126,58.86048379893811,9.570728663950556
Country_66,0.9493135331285333,427.73124943280567,90.4164066564197,35.3936389492294,12.11164684208752,36.14449744669784,48.57299926350019,75.04354595397108,68.25469341874162,92.92108096294488
Country_67,0.46011781304721777,599.5172217156833,31.26519831739395,19.508380233737384,38.41610365327528,42.39802987533442,27.679793097111915,8.487558293177466,64.41160922322187,75.95877140744133
Country_68,0.7327291950823098,428.2253142949602,44.034932418746685,19.475724334924237,45.92911879278378,26.478980233150573,71.50128564550829,33.211470845666746,22.354830793844847,81.66913854382669
Country_69,0.1775468726869518,403.2498040945258,30.158428783491487,39.03203269360417,86.0647788170616,35.07544830055694,18.890711596633203,6.776736260403471,34.96773890725965,89.05764729478757
Country_70,0.37133951052149505,528.6969202116841,2.584792862303742,0.2682112608852316,98.17276311531705,31.047378848270448,21.87140337443444,85.71060819325454,73.2934329550504,19.719668378595767
Country_71,0.025733372997827964,404.4534467844019,21.334456147297576,8.756312999657528,23.639996479586777,56.098942336869484,63.091078102699896,13.609733828223636,70.99346785814512,70.7723161724161
Country_72,0.06837202528910269,588.0069518174357,80.35587841807651,8.934030822780187,2.900812566477229,78.05980881552816,68.86242295839307,53.44631324792365,97.6674085253352,23.900838650895786
Country_73,0.6553024976775175,582.189104974379,62.514454231197135,29.06279696971949,85.96808951749401,13.178100178522545,35.665779742578465,48.123872212118876,58.7894246023789,98.07915856052348
Country_74,0.3967268731433582,434.58893285053114,91.99232389527451,2.3683569263207582,54.7514297511263,65.15096778040326,72.12329692220491,91.3694789364805,37.16188860212537,36.55725986377574
Country_75,0.13588863283647146,536.0392824530888,84.02322420638939,0.3152281928185008,25.37781284283961,81.36729579634854,85.32188077320365,30.40909148017079,46.57933630935379,66.9589946390578
Country_76,0.1219622753226064,481.8641295058727,22.946136025710718,36.63944953770208,15.887005133823685,85.29620858602537,43.711707755075665,45.92649772802792,34.139213653199086,74.26412203774832
Country_77,0.14515484612868546,512.0143620647002,6.2774871930650455,7.358772911938383,66.52448005631744,79.65732573062967,68.645854668242,97.19504654677678,77.62925134026916,77.94993494431117
Country_78,0.19717849560699885,440.1271958102863,8.467345175100682,16.398906609244897,19.99350753853213,60.822940197352374,25.181314497609364,42.81701256700718,25.342713816248764,16.428855564466872
Country_79,0.49345544336356606,414.15637917238655,97.87490406211349,11.659548153492372,44.03442352077865,85.91785859576129,52.875171119371714,57.58715765554078,31.095903901835985,76.50349738022084
Country_80,0.9870186637366585,483.9125009012075,89.49052903821087,17.037930482131415,59.057861794381594,75.71621939768652,34.60387272333616,99.88172528405975,70.8966603733417,45.78646001560804
Country_81,0.34564308618365314,471.60848278389585,95.32412371467586,7.086356926975918,90.50013571292045,47.12378228401789,55.250145373600745,41.36629121945135,7.100923294042305,5.216808258956784
Country_82,0.2698808541123189,441.21965658900746,27.004750178191316,19.944848851210878,84.04309963891419,72.22879647005807,38.232210015013536,44.94812876907574,20.77690862396707,52.241421654661956
Country_83,0.2587043179171895,435.14331271548997,27.841688007628196,8.765137349746377,33.565654721291274,35.90022108368473,0.6956578371968836,25.629059914542076,0.19245872708302247,67.89652068057423
Country_84,0.9206599022078117,503.9120097513061,99.39624690655516,13.874843499028394,99.48160832350375,74.63228672917543,15.695683411357352,73.85941521442766,4.3820792946403175,38.88971108851733
Country_85,0.09888293089913935,551.9769447874431,78.52931784561626,27.14786867728934,9.061274271311992,33.68098710489227,24.455563157556746,80.17305720049336,3.424390252029319,60.09576243289742
Country_86,0.9122557879268307,523.0541864225139,76.34874992303979,18.48800411322707,81.8351080440663,87.27924203703564,25.281228532753765,15.959098964027852,68.13233869440403,47.92200529466096
Country_87,0.14819591067353843,452.8443408003877,26.892559586868746,43.31642377186766,59.39769292475163,65.08552602935033,46.83555257744675,69.27438294296834,6.130917966124572,55.73896752821324
Country_88,0.28959632281976866,458.2332971802707,89.1556169137935,49.60613669423682,7.888139739343836,41.804734658986206,3.6261846063781356,61.61330876814666,14.567646766608021,14.958326129145515
Country_89,0.5978909902794601,583.0465284092161,80.04332486702329,46.509290160202944,39.21233212380423,72.15668010804434,53.5174448749995,91.93913394277665,14.450262206802778,48.392184561430994
Country_90,0.1078561710601178,586.306247080219,0.7994138741825085,7.0140757363431785,87.25403727972017,90.63582271177368,61.916608477180134,40.75104407414047,73.00754678455374,22.35164491660777
Country_91,0.5414778882877753,541.0911298112319,55.87430942592114,35.494814266533666,87.07644470885168,30.360535865131844,95.22169504078238,0.802112034225988,35.779569013012704,75.5561321935436
Country_92,0.7078506030141236,408.1784902859976,74.23159306560268,19.83727312567764,71.22569090071997,87.88597086986289,21.244942006821876,9.999607311914183,92.5635474821893,77.18759225939603
Country_93,0.09709950175741333,585.867222898777,98.20541312701889,3.7580317792343165,89.02551428522467,30.20201435040043,19.865302161636787,6.256588528512097,24.799465789684895,0.5563600533314506
Country_94,0.23335479999154352,459.3543402479909,7.73565110016029,29.542432593588025,48.674884941617655,90.3317850589957,93.13626169831757,42.60595650565416,48.25914107204128,39.737503153198794
Country_95,0.38081553628669573,441.2636700497678,96.55744290842819,11.88407951565308,3.05466783897661,77.33118951109134,35.13199482402235,35.36464443844009,16.053411543299546,11.859448705490827
Country_96,0.5768750206841741,531.8446180209288,40.87012748567959,18.77827688180485,94.93703388877867,89.89253970918314,53.06572042547029,0.3634535764857727,62.76582850518655,63.12623152009529
Country_97,0.3781364566972948,430.1091289655478,27.170639368769567,43.88203660927972,81.74419143584132,89.74397800299457,67.19725516918349,79.40921417026601,75.59867367950453,81.7779171135821
Country_98,0.5377946771657117,574.8423491093524,93.30071637432587,49.4649323917615,61.60893291668073,89.87267427256425,52.782749730913345,3.8899568809649843,44.18355216463012,76.10601583324006
Country_99,0.6761182534040834,445.0503212221142,31.7742167280218,28.59177271232661,18.700190819282547,91.0199585442323,74.88534856855983,64.70130040703285,77.07203884066207,72.13644011305558
Country_100,0.43680381410840774,577.2711288000061,14.627798249129931,18.441178168516277,5.591276250081945,51.1413469837238,92.34074080500997,23.5361855056058,5.159666516359218,62.48154335578086
